method,tone_count,nuisance_case,one_sigma_floor_c,three_sigma_floor_c,one_sigma_to_train_q05_q95_range,one_sigma_to_test_q05_q95_range,identifiable,target_condition_number,nuisance_count,median_snr_db,q05_snr_db,q95_snr_db
d_optimal_default,64,offset_gas_pm,0.3506205723076518,1.0518617169229554,0.008448688489341008,0.008211254620788097,True,1.0,7,18.22598727160677,4.842338015074215,26.109586670442923
d_optimal_default,64,offset_gas_pm_background_scale,5.208301212910749,15.624903638732247,0.12550123404604216,0.12197426728128218,True,1.0,8,18.22598727160677,4.842338015074215,26.109586670442923
d_optimal_strict,64,ideal_target_only,0.17089691251206232,0.512690737536187,0.004117997891856923,0.004002269613865628,True,1.0,0,16.96332052451786,3.3179905613375236,26.109586670442923
d_optimal_strict,64,offset_gas_pm,0.35523720362061006,1.0657116108618303,0.008559932617364098,0.008319372450131382,True,1.0,7,16.96332052451786,3.3179905613375236,26.109586670442923
d_optimal_strict,64,offset_gas_pm_background_scale,0.7582421171780801,2.27472635153424,0.018270894389833255,0.017757426631805153,True,1.0,8,16.96332052451786,3.3179905613375236,26.109586670442923
uniform,128,ideal_target_only,0.2477655357420348,0.7432966072261045,0.0059702538733020435,0.005802471563045311,True,1.0,0,17.887819796857734,-76.12116252797891,23.592046467428663
uniform,128,offset_gas_pm,0.47253534552627446,1.4176060365788234,0.011386393868102999,0.011066401534573172,True,1.0,7,17.887819796857734,-76.12116252797891,23.592046467428663
uniform,128,offset_gas_pm_background_scale,1.765597109686011,5.296791329058033,0.042544508667132795,0.04134887844697918,True,1.0,8,17.887819796857734,-76.12116252797891,23.592046467428663
d_optimal_default,128,ideal_target_only,0.14740771430775407,0.4422231429232622,0.0035519931158494956,0.003452171295263561,True,1.0,0,18.56914473621243,3.2142848838207314,23.626293260973323
d_optimal_default,128,offset_gas_pm,0.2974511327868708,0.8923533983606124,0.007167497175587248,0.006966068683533273,True,1.0,7,18.56914473621243,3.2142848838207314,23.626293260973323
