case_id,split,target,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
training_prior__pilot_power_residual__bayesian_a_optimal__k32,validation,SO2,15.967911433000785,0.23832703631344454,-0.1313920721358499,5.428490649322438
training_prior__pilot_power_residual__bayesian_a_optimal__k32,validation,NO2,36.07848256711726,0.33718208006651645,-2.3497216763201934e-05,-0.05389879185100551
training_prior__pilot_power_residual__bayesian_a_optimal__k32,validation,PM2.5,92.6168432185124,0.42281142761247525,-0.0017233978280510875,-3.4292630491880334
training_prior__pilot_power_residual__bayesian_a_optimal__k32,validation,PM10,99.66308590460268,0.3775116890325859,-0.004392977052941616,6.498906309270909
training_prior__pilot_power_residual__bayesian_a_optimal__k32,validation,macro,,0.3489723226943399,-0.04369712896742691,
training_prior__pilot_power_residual__target_balanced__k32,validation,CO,1343.5946184749187,0.4478648728249729,-0.010548043571351418,-134.84879474720856
training_prior__pilot_power_residual__target_balanced__k32,validation,O3,49.97982583183096,0.2701612207125998,-0.1142266527946374,16.000386264104396
training_prior__pilot_power_residual__target_balanced__k32,validation,SO2,15.970235434235468,0.23836172289903684,-0.13172142615618632,5.424553060795399
training_prior__pilot_power_residual__target_balanced__k32,validation,NO2,36.08293806402326,0.33722372022451647,-0.00027050742351497625,-0.056970285017417174
training_prior__pilot_power_residual__target_balanced__k32,validation,PM2.5,92.62688689595043,0.42285727868500683,-0.0019406700188029369,-3.435786797759281
training_prior__pilot_power_residual__target_balanced__k32,validation,PM10,99.67737596493399,0.37756581804899236,-0.004681024830900826,6.4914345001204765
training_prior__pilot_power_residual__target_balanced__k32,validation,macro,,0.3490057722325209,-0.043898054132565645,
training_prior__pilot_power_residual__uniform__k64,validation,CO,1343.6145243795715,0.4478715081265239,-0.010577987159601232,-134.84997024306458
training_prior__pilot_power_residual__uniform__k64,validation,O3,49.984665803854945,0.27018738272354026,-0.11444246334838692,16.00330440617321
training_prior__pilot_power_residual__uniform__k64,validation,SO2,15.967906373179165,0.23832696079371887,-0.13139135511769973,5.426718067262247
training_prior__pilot_power_residual__uniform__k64,validation,NO2,36.0815205395325,0.3372104723320794,-0.0001919173659219453,-0.05684126222061307
training_prior__pilot_power_residual__uniform__k64,validation,PM2.5,92.61347031368491,0.42279602973606584,-0.0016504379636432809,-3.434758322690565
training_prior__pilot_power_residual__uniform__k64,validation,PM10,99.67061180571854,0.3775401962337823,-0.004544673090842055,6.493155468505066
training_prior__pilot_power_residual__uniform__k64,validation,macro,,0.34898875832428505,-0.04379980567434919,
training_prior__pilot_power_residual__physics_d_optimal__k64,validation,CO,1343.671414858136,0.4478904716193786,-0.010663567482563696,-134.82325625314627
training_prior__pilot_power_residual__physics_d_optimal__k64,validation,O3,49.98061850362084,0.2701655054249775,-0.11426199597658493,16.00237049157699
training_prior__pilot_power_residual__physics_d_optimal__k64,validation,SO2,15.973078913109786,0.23840416288223562,-0.13212446497959407,5.426198725000869
training_prior__pilot_power_residual__physics_d_optimal__k64,validation,NO2,36.08223085142643,0.3372171107609947,-0.0002312979240333135,-0.05629606162244779
training_prior__pilot_power_residual__physics_d_optimal__k64,validation,PM2.5,92.62647309681012,0.42285538962250824,-0.0019317179472024826,-3.4336499774336193
training_prior__pilot_power_residual__physics_d_optimal__k64,validation,PM10,99.67559245171674,0.37755906231710884,-0.0046450719210495706,6.4940825660592125
training_prior__pilot_power_residual__physics_d_optimal__k64,validation,macro,,0.3490152837712006,-0.04397635270517134,
