section,case,target,metric,value,unit,notes
ridge_validation,per_target_alpha_grid,PM2.5,alpha_10_normalized_rmse,0.4246739533007827,dimensionless,
ridge_validation,per_target_alpha_grid,PM10,alpha_10_normalized_rmse,0.3799713924454657,dimensionless,
ridge_validation,shared_alpha_grid,macro,alpha_100_normalized_rmse,0.35213176419364034,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_100_normalized_rmse,0.45049793464109106,dimensionless,
ridge_validation,per_target_alpha_grid,O3,alpha_100_normalized_rmse,0.2744551094658543,dimensionless,
ridge_validation,per_target_alpha_grid,SO2,alpha_100_normalized_rmse,0.24325546354725427,dimensionless,
ridge_validation,per_target_alpha_grid,NO2,alpha_100_normalized_rmse,0.34001590797760384,dimensionless,
ridge_validation,per_target_alpha_grid,PM2.5,alpha_100_normalized_rmse,0.42463810423971476,dimensionless,
ridge_validation,per_target_alpha_grid,PM10,alpha_100_normalized_rmse,0.379928065290324,dimensionless,
ridge_validation,shared_alpha_grid,macro,alpha_1000_normalized_rmse,0.35164769772355425,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_1000_normalized_rmse,0.45009737589503995,dimensionless,
ridge_validation,per_target_alpha_grid,O3,alpha_1000_normalized_rmse,0.2738592208284056,dimensionless,
ridge_validation,per_target_alpha_grid,SO2,alpha_1000_normalized_rmse,0.24246822938810472,dimensionless,
ridge_validation,per_target_alpha_grid,NO2,alpha_1000_normalized_rmse,0.3395903949611562,dimensionless,
ridge_validation,per_target_alpha_grid,PM2.5,alpha_1000_normalized_rmse,0.42432369259714425,dimensionless,
ridge_validation,per_target_alpha_grid,PM10,alpha_1000_normalized_rmse,0.37954727267147453,dimensionless,
ridge_validation,shared_alpha_grid,macro,alpha_10000_normalized_rmse,0.34972491079726337,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_10000_normalized_rmse,0.448498016446383,dimensionless,
ridge_validation,per_target_alpha_grid,O3,alpha_10000_normalized_rmse,0.27142546927905215,dimensionless,
ridge_validation,per_target_alpha_grid,SO2,alpha_10000_normalized_rmse,0.23936962999558375,dimensionless,
ridge_validation,per_target_alpha_grid,NO2,alpha_10000_normalized_rmse,0.3379114068932074,dimensionless,
ridge_validation,per_target_alpha_grid,PM2.5,alpha_10000_normalized_rmse,0.4231027112029037,dimensionless,
ridge_validation,per_target_alpha_grid,PM10,alpha_10000_normalized_rmse,0.3780422309664502,dimensionless,
ridge_validation,shared_alpha_grid,macro,alpha_100000_normalized_rmse,0.3489118959733823,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_100000_normalized_rmse,0.44778608706770556,dimensionless,
ridge_validation,per_target_alpha_grid,O3,alpha_100000_normalized_rmse,0.2702122938761037,dimensionless,
ridge_validation,per_target_alpha_grid,SO2,alpha_100000_normalized_rmse,0.23816328711956844,dimensionless,
ridge_validation,per_target_alpha_grid,NO2,alpha_100000_normalized_rmse,0.3371778846043243,dimensionless,
ridge_validation,per_target_alpha_grid,PM2.5,alpha_100000_normalized_rmse,0.42268342624402716,dimensionless,
ridge_validation,per_target_alpha_grid,PM10,alpha_100000_normalized_rmse,0.3774483969285646,dimensionless,
ridge_validation,shared_alpha_grid,macro,alpha_1e+06_normalized_rmse,0.3489258797418686,dimensionless,
ridge_validation,per_target_alpha_grid,CO,alpha_1e+06_normalized_rmse,0.4477830511927515,dimensionless,
