model,split,model_role,uses_current_other_station_targets,uses_query_current_targets,uses_query_pollutant_lags,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
spatial_causal_ridge,validation,spatial and causal regression,True,False,True,O3,6.73038267488668,10.313422873140926,0.055748231746707705,0.9525550802591343,0.32061666136701494
spatial_causal_ridge,validation,spatial and causal regression,True,False,True,SO2,2.6672884442315774,4.671690659687891,0.06972672626399837,0.9031577086194259,-0.040584958800904736
spatial_causal_ridge,validation,spatial and causal regression,True,False,True,NO2,6.731645569102319,9.985521230428079,0.09332262832175775,0.9233953457068379,-0.2811137134261101
spatial_causal_ridge,validation,spatial and causal regression,True,False,True,PM2.5,10.86490082116617,22.04288011479275,0.10062944585616446,0.9432580121152042,-0.07050789922947866
spatial_causal_ridge,validation,spatial and causal regression,True,False,True,PM10,16.04850989305971,27.234968269336328,0.10316275859597093,0.9249952523740979,0.28723713211149876
spatial_causal_ridge,test,spatial and causal regression,True,False,True,CO,203.96339902573658,410.8340573600877,0.13694468578669589,0.9058023581911668,-3.8847996804117235
spatial_causal_ridge,test,spatial and causal regression,True,False,True,O3,8.232483828755793,12.80764865952668,0.06923053329473881,0.9483180847094709,-0.07179870702356168
spatial_causal_ridge,test,spatial and causal regression,True,False,True,SO2,2.4650621665170473,5.286213909244296,0.0788987150633477,0.8390154073509055,0.05934346197483413
spatial_causal_ridge,test,spatial and causal regression,True,False,True,NO2,7.014668953760682,11.024095032178481,0.10302892553437833,0.9062899473567744,-0.17168833617489715
spatial_causal_ridge,test,spatial and causal regression,True,False,True,PM2.5,10.654970163553998,20.3318244421345,0.09281818964681382,0.9437575443626156,-0.9433658858877972
spatial_causal_ridge,test,spatial and causal regression,True,False,True,PM10,16.243888838792756,27.299921525366553,0.10340879365669149,0.9172579062602184,0.38272667281962686
spatial_causal_pls,validation,spatial and causal latent regression,True,False,True,CO,268.6166519556185,447.7712388058782,0.1492570796019594,0.8877638286554457,-9.827928210199877
spatial_causal_pls,validation,spatial and causal latent regression,True,False,True,O3,10.515809070446839,14.796090680703577,0.07997886854434366,0.9023486987981877,-0.816039899440048
