scenario,method,tone_count,target,detection_floor_1sigma_ug_m3,detection_floor_3sigma_ug_m3,detection_floor_1sigma_ppm,floor_to_guideline_ratio,floor_3sigma_to_guideline_ratio,who_2021_guideline_ug_m3,who_averaging_period,identifiable,target_rank,target_condition_number,median_snr_db,q05_snr_db,q95_snr_db,frequency_min_ghz,frequency_max_ghz,selected_index_count,power_optimization_success,uniform_floor_ratio,gain_over_uniform,equal_d_optimal_floor_ratio,gain_over_equal_d_optimal
reference,d_optimal_equal,128,O3,23999.133126686982,71997.39938006095,11.834409232661333,239.99133126686982,719.9739938006095,100.0,8 h,True,4,886.6801376671717,15.462843660059058,3.9779984434842,23.661471510510527,70.63538611925709,400.0,128,,395.7411088687747,1.648980847682,239.99133126686982,1.0
reference,d_optimal_equal,128,SO2,3045.6912025517413,9137.073607655224,1.1267270620497183,76.14228006379354,228.4268401913806,40.0,24 h,True,4,886.6801376671717,15.462843660059058,3.9779984434842,23.661471510510527,70.63538611925709,400.0,128,,146.85731297845214,1.928722292731609,76.14228006379354,1.0
reference,d_optimal_equal,128,NO2,51693.3593602976,155080.0780808928,26.59488666242209,2067.7343744119044,6203.203123235712,25.0,24 h,True,4,886.6801376671717,15.462843660059058,3.9779984434842,23.661471510510527,70.63538611925709,400.0,128,,3502.792233363794,1.6940242792839588,2067.7343744119044,1.0
reference,uniform_equal,256,CO,83386.77951020913,250160.3385306274,70.48103410706221,20.846694877552284,62.54008463265685,4000.0,24 h,True,4,783.7562833862218,14.979709985027057,-71.97223355351603,20.639551220622486,60.0,400.0,256,,20.846694877552284,1.0,11.54901025863003,0.553997184036401
reference,uniform_equal,256,O3,28084.52032887004,84253.56098661011,13.848987999706404,280.8452032887004,842.5356098661011,100.0,8 h,True,4,783.7562833862218,14.979709985027057,-71.97223355351603,20.639551220622486,60.0,400.0,256,,280.8452032887004,1.0,184.6698862791353,0.6575504374532622
reference,uniform_equal,256,SO2,4305.723764345562,12917.171293036685,1.5928651870334551,107.64309410863905,322.92928232591714,40.0,24 h,True,4,783.7562833862218,14.979709985027057,-71.97223355351603,20.639551220622486,60.0,400.0,256,,107.64309410863905,1.0,63.93539866753965,0.5939572733111211
reference,uniform_equal,256,NO2,64498.54605738098,193495.63817214296,33.182821614114246,2579.9418422952394,7739.825526885718,25.0,24 h,True,4,783.7562833862218,14.979709985027057,-71.97223355351603,20.639551220622486,60.0,400.0,256,,2579.9418422952394,1.0,1664.5589174203133,0.645192418732758
reference,d_optimal_equal,256,CO,46196.04103452012,138588.12310356036,39.04629442328601,11.54901025863003,34.64703077589009,4000.0,24 h,True,4,785.7312000291931,14.273032388470455,1.8999247891947952,20.666350312297705,70.3030303030303,400.0,256,,20.846694877552284,1.8050633267014837,11.54901025863003,1.0
reference,d_optimal_equal,256,O3,18466.98862791353,55400.965883740595,9.106408117491927,184.6698862791353,554.0096588374059,100.0,8 h,True,4,785.7312000291931,14.273032388470455,1.8999247891947952,20.666350312297705,70.3030303030303,400.0,256,,280.8452032887004,1.5207958858229467,184.6698862791353,1.0
reference,d_optimal_equal,256,SO2,2557.415946701586,7672.247840104758,0.9460938632426,63.93539866753965,191.80619600261895,40.0,24 h,True,4,785.7312000291931,14.273032388470455,1.8999247891947952,20.666350312297705,70.3030303030303,400.0,256,,107.64309410863905,1.683622787250876,63.93539866753965,1.0
reference,d_optimal_equal,256,NO2,41613.97293550783,124841.91880652349,21.409304937588008,1664.5589174203133,4993.67675226094,25.0,24 h,True,4,785.7312000291931,14.273032388470455,1.8999247891947952,20.666350312297705,70.3030303030303,400.0,256,,2579.9418422952394,1.5499252176027274,1664.5589174203133,1.0
reference_zero_residual,uniform_equal,16,CO,5795225.671152788,17385677.013458364,4898.30043306367,1448.806417788197,4346.419253364591,4000.0,24 h,True,4,494907.8817826783,26.727158462857012,-137.1906564127355,32.51605254139092,60.0,400.0,16,,1448.806417788197,1.0,21.97735223943947,0.015169281395778831
reference_zero_residual,uniform_equal,16,O3,107873.30828531086,323619.9248559326,53.1942911767013,1078.7330828531087,3236.199248559326,100.0,8 h,True,4,494907.8817826783,26.727158462857012,-137.1906564127355,32.51605254139092,60.0,400.0,16,,1078.7330828531087,1.0,511.5419141487435,0.4742061982522884
reference_zero_residual,uniform_equal,16,SO2,24994.307516902358,74982.92255070707,9.246427429311314,624.857687922559,1874.5730637676766,40.0,24 h,True,4,494907.8817826783,26.727158462857012,-137.1906564127355,32.51605254139092,60.0,400.0,16,,624.857687922559,1.0,160.2407773924249,0.25644363587038743
reference_zero_residual,uniform_equal,16,NO2,254750.61617197088,764251.8485159127,131.0625551931,10190.024646878835,30570.073940636506,25.0,24 h,True,4,494907.8817826783,26.727158462857012,-137.1906564127355,32.51605254139092,60.0,400.0,16,,10190.024646878835,1.0,4017.9979278461724,0.3943069881658107
reference_zero_residual,d_optimal_equal,16,CO,87909.40895775787,263728.2268732736,74.30369763020812,21.97735223943947,65.9320567183184,4000.0,24 h,True,4,833.3693985165493,24.645447588866382,8.055597234920572,31.92513404206631,66.64711632453567,400.0,16,,1448.806417788197,65.92270087878197,21.97735223943947,1.0
reference_zero_residual,d_optimal_equal,16,O3,51154.19141487435,153462.57424462307,25.225062587628774,511.5419141487435,1534.6257424462308,100.0,8 h,True,4,833.3693985165493,24.645447588866382,8.055597234920572,31.92513404206631,66.64711632453567,400.0,16,,1078.7330828531087,2.1087872821687106,511.5419141487435,1.0
reference_zero_residual,d_optimal_equal,16,SO2,6409.6310956969955,19228.893287090985,2.3711874687842736,160.2407773924249,480.7223321772746,40.0,24 h,True,4,833.3693985165493,24.645447588866382,8.055597234920572,31.92513404206631,66.64711632453567,400.0,16,,624.857687922559,3.8994923644953436,160.2407773924249,1.0
reference_zero_residual,d_optimal_equal,16,NO2,100449.9481961543,301349.8445884629,51.678881399506594,4017.9979278461724,12053.993783538515,25.0,24 h,True,4,833.3693985165493,24.645447588866382,8.055597234920572,31.92513404206631,66.64711632453567,400.0,16,,10190.024646878835,2.536095047799377,4017.9979278461724,1.0
reference_zero_residual,uniform_equal,32,CO,114786.82169932818,344360.46509798453,97.02130173094304,28.696705424832047,86.09011627449614,4000.0,24 h,True,4,1609.810067577874,23.663781945356178,-48.47512970641317,29.603670816235056,60.0,400.0,32,,28.696705424832047,1.0,16.640786572464936,0.5798849145262929
reference_zero_residual,uniform_equal,32,O3,74257.80413724475,222773.41241173423,36.6178744140448,742.5780413724475,2227.734124117342,100.0,8 h,True,4,1609.810067577874,23.663781945356178,-48.47512970641317,29.603670816235056,60.0,400.0,32,,742.5780413724475,1.0,361.1642127658982,0.4863653281456954
reference_zero_residual,uniform_equal,32,SO2,8813.075770540177,26439.227311620532,3.260320994539038,220.32689426350444,660.9806827905134,40.0,24 h,True,4,1609.810067577874,23.663781945356178,-48.47512970641317,29.603670816235056,60.0,400.0,32,,220.32689426350444,1.0,108.02898639972553,0.49031230055158886
reference_zero_residual,uniform_equal,32,NO2,220460.90729996492,661382.7218998948,113.42139330260689,8818.436291998596,26455.30887599579,25.0,24 h,True,4,1609.810067577874,23.663781945356178,-48.47512970641317,29.603670816235056,60.0,400.0,32,,8818.436291998596,1.0,2835.370295436392,0.3215275590309661
reference_zero_residual,d_optimal_equal,32,CO,66563.14628985974,199689.43886957923,56.261189261477575,16.640786572464936,49.922359717394805,4000.0,24 h,True,4,844.4645632068689,20.756278734307507,6.3478490179402645,29.12100065522034,69.97067448680352,400.0,32,,28.696705424832047,1.7244801079484857,16.640786572464936,1.0
reference_zero_residual,d_optimal_equal,32,O3,36116.42127658982,108349.26382976945,17.80966450538476,361.1642127658982,1083.4926382976946,100.0,8 h,True,4,844.4645632068689,20.756278734307507,6.3478490179402645,29.12100065522034,69.97067448680352,400.0,32,,742.5780413724475,2.0560676144670422,361.1642127658982,1.0
reference_zero_residual,d_optimal_equal,32,SO2,4321.159455989021,12963.478367967062,1.5985754873690796,108.02898639972553,324.08695919917653,40.0,24 h,True,4,844.4645632068689,20.756278734307507,6.3478490179402645,29.12100065522034,69.97067448680352,400.0,32,,220.32689426350444,2.039516444672152,108.02898639972553,1.0
reference_zero_residual,d_optimal_equal,32,NO2,70884.2573859098,212652.77215772943,36.46810373047835,2835.370295436392,8506.110886309178,25.0,24 h,True,4,844.4645632068689,20.756278734307507,6.3478490179402645,29.12100065522034,69.97067448680352,400.0,32,,8818.436291998596,3.110153303853157,2835.370295436392,1.0
reference_zero_residual,d_optimal_power,32,CO,66456.26546522412,199368.79639567237,56.17085034815364,16.61406636630603,49.842199098918094,4000.0,24 h,True,4,826.3610630566039,19.143982394029678,9.583461947561025,24.301798185821696,69.97067448680352,400.0,32,True,28.696705424832047,1.727253568881251,16.640786572464936,1.0016082881559385
reference_zero_residual,d_optimal_power,32,O3,35472.913692726834,106418.7410781805,17.492339206526893,354.7291369272683,1064.1874107818048,100.0,8 h,True,4,826.3610630566039,19.143982394029678,9.583461947561025,24.301798185821696,69.97067448680352,400.0,32,True,742.5780413724475,2.0933663577928803,361.1642127658982,1.0181408155370932
reference_zero_residual,d_optimal_power,32,SO2,4282.751234289418,12848.253702868253,1.5843666986521243,107.06878085723545,321.20634257170633,40.0,24 h,True,4,826.3610630566039,19.143982394029678,9.583461947561025,24.301798185821696,69.97067448680352,400.0,32,True,220.32689426350444,2.0578070703661635,108.02898639972553,1.0089681187625588
reference_zero_residual,d_optimal_power,32,NO2,69971.679098136,209915.037294408,35.99860597613871,2798.86716392544,8396.601491776319,25.0,24 h,True,4,826.3610630566039,19.143982394029678,9.583461947561025,24.301798185821696,69.97067448680352,400.0,32,True,8818.436291998596,3.1507162632293877,2835.370295436392,1.0130421093153117
reference_zero_residual,uniform_equal,64,CO,99307.53012033367,297922.590361001,83.93773519748912,24.826882530083417,74.48064759025026,4000.0,24 h,True,4,644.6779232304115,20.839968970258468,-57.58130152580275,26.639033501427797,60.0,400.0,64,,24.826882530083417,1.0,12.592083703837202,0.5071955243909109
