model,model_role,configuration_status,aggregation,target,noise_seed_count,mean_validation_normalized_rmse,std_validation_normalized_rmse_across_seeds,mean_test_normalized_rmse,std_test_normalized_rmse_across_seeds,min_test_normalized_rmse,max_test_normalized_rmse,mean_test_r2,mean_test_delta_vs_reference,std_test_delta_vs_reference,test_seed_wins_vs_reference,test_seed_ties_vs_reference,primary_seed_test_normalized_rmse
exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,per_target,O3,10,0.2703189151016643,0.0014559969493785352,0.31035040332537933,0.000984417530630203,0.3090123063183877,0.3119048439218247,-0.03860834225439409,0.0004665208909264862,0.0009969029731732998,5,0,0.3098353886365695
exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,per_target,SO2,10,0.23944612150567077,0.0015221900996053282,0.23709359295054377,0.0026218016381995227,0.23200139299755398,0.2407112293531528,-0.4538911106881495,0.001505639886969809,0.002619940850649496,3,0,0.23708712777860164
exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,per_target,NO2,10,0.337854071472383,0.0005457184445074982,0.33726049477929926,0.00044015420957329215,0.3364955031223757,0.3378233772042552,-0.004151986681944409,0.0006932433655484627,0.0004416195343543488,1,0,0.33752143952330044
exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,per_target,PM2.5,10,0.4233671555781554,0.00042635832545751863,0.39270248480111636,0.0004283048329020676,0.3920646307198969,0.3931907007517355,-0.006759765126313644,0.0006875002580269518,0.00041622005533233227,0,0,0.3922354488354994
exploratory_pca_knn_component,exploratory_component,frozen_before_noise_seed_stability_study,per_target,PM10,10,0.37797027317272497,0.0005119287922778145,0.3616842588825856,0.0004078299371213301,0.36104590097382466,0.36234257124033636,-0.012211519598408405,0.0005580088454698318,0.0004066122668461742,1,0,0.3616301240211521
exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,overall_mean_across_targets,all,10,0.3489155064652728,1.0405547384982748e-05,0.3474818532848898,2.3607245329905106e-05,0.34743104867510927,0.3475155111105012,-0.08318724494743071,6.341015157157459e-06,1.639279545659188e-05,5,0,0.34743104867510927
exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,per_target,CO,10,0.44777975655019686,1.3052755203822365e-05,0.44968215986835824,3.1549233856017896e-05,0.4496370948874771,0.4497600230541625,-0.015689543072580858,9.407741945466341e-06,3.305294288362723e-05,5,0,0.4496370948874771
exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,per_target,O3,10,0.27013692435792647,3.963881803762453e-05,0.30987311569952825,6.762433122162501e-05,0.3097559180763189,0.31002146928162405,-0.03540691749562641,-1.0766734924527732e-05,7.750637669756824e-05,4,0,0.30986944681342304
exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,per_target,SO2,10,0.238205510856394,3.860286881692374e-05,0.23560721609413499,5.013014602491548e-05,0.23551812582452616,0.23571317638158754,-0.43556098043330743,1.926303056101475e-05,3.953153742425868e-05,2,2,0.23551812582452616
exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,per_target,NO2,10,0.33717196144737194,1.4062128703301436e-05,0.3365775309895577,2.563494029657293e-05,0.33655545754389826,0.336644045692614,-8.769386706873883e-05,1.0279575806915187e-05,2.2293779245630108e-05,3,1,0.33655545754389826
exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,per_target,PM2.5,10,0.4227241573407907,2.333380575100203e-05,0.39202138167337486,4.287952741197045e-05,0.3919294215371063,0.3921066301128936,-0.0032694823652077653,6.397130285490382e-06,2.659658059850924e-05,5,1,0.3919294215371063
exploratory_targetwise_ridge_component,exploratory_component,validation_selected_per_target_per_noise_seed,per_target,PM10,10,0.37747472823895667,1.905427486245072e-05,0.36112971538438443,2.665846646533892e-05,0.3610767454442246,0.36118810539959656,-0.009108852450793159,3.465347268577501e-06,1.8791546785270775e-05,4,1,0.3610767454442246
exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,overall_mean_across_targets,all,10,0.34874889327028996,0.00012153087799841128,0.3474782902011313,0.0001939864211312579,0.3470430765054335,0.3477374750699205,-0.08277404163125635,2.77793139864535e-06,0.00019180338090831205,4,0,0.34732231420704984
exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,per_target,CO,10,0.44766633263808286,0.00012332439145224607,0.4497709264817333,0.00026701740496123857,0.4491947341054444,0.45030228542474743,-0.01609089177495271,9.817435532052387e-05,0.00024109725144561247,2,0,0.4491947341054444
exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,per_target,O3,10,0.26962125678650567,0.0005727721016388555,0.3097779952084151,0.0003433626681059683,0.3090123063183877,0.310212744337844,-0.03477244557249866,-0.00010588722603775413,0.0003418395642494388,5,0,0.3098353886365695
exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,per_target,SO2,10,0.2379836102390039,0.0005440626049942668,0.23527494684399125,0.001173073154865496,0.23200139299755398,0.23607074148801777,-0.43154675516570074,-0.0003130062195827371,0.0011742694552451382,3,1,0.23551812582452616
exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,per_target,NO2,10,0.3371294475038971,5.171641608492024e-05,0.33671880776378027,0.00023733626222509967,0.3364955031223757,0.33717045702437326,-0.0009278762365169335,0.00015155635002947476,0.00023514266348079941,2,0,0.3365823423495995
exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,per_target,PM2.5,10,0.42267115756465623,7.960781363635627e-05,0.3921408082032705,0.0002475372079070066,0.3918114224059903,0.3925698146093966,-0.00388120252795745,0.00012582366018112356,0.00023291629018425144,5,0,0.3918114224059903
exploratory_validation_selected_composite,exploratory_composite_not_confirmatory,validation_selected_per_target_from_predeclared_components,per_target,PM10,10,0.3774215548895939,7.624891328434007e-05,0.3611862567055971,0.00017699678988961054,0.3609918719201692,0.3615772363078059,-0.009425078509911543,6.0006668481271674e-05,0.00016976727428206223,5,0,0.3609918719201692
