frames,elapsed_s,residual_std_db,target,standard_error_ug_m3,control,truth_ug_m3,bias_ug_m3,mae_ug_m3,rmse_ug_m3,p95_absolute_error_ug_m3,mae_pct_of_truth,rmse_pct_of_truth,within_20pct_of_truth_pct,negative_estimate_pct,conditional_95pct_interval_coverage_pct
1000,10.0,0.0,PMcoarse,258771265.43139926,absent,0.0,2715002.148829708,209215894.80999586,261658814.7543069,507605993.9059582,,,,49.96,94.94
1000,10.0,0.0,PM10,47930850.4858871,positive,90.0,-139263.52866183882,38611118.75281827,48455413.129435,94760948.35494737,42901243.058686964,53839347.92159445,0.0,50.019999999999996,94.78
1000,10.0,0.0,PM10,47930850.4858871,absent,0.0,502150.70947032387,38751947.28010963,48465415.689658135,94027428.07183002,,,,49.96,94.94
1000,10.0,0.001,H2CO,10.928818133558538,positive,1.0,0.012998706292130433,8.820515448718837,11.09369116753703,21.961091290960994,882.0515448718836,1109.3691167537029,1.44,46.28,94.52000000000001
1000,10.0,0.001,H2CO,10.928818133558538,absent,0.0,-0.07641635232022745,8.757883173780627,11.036830222035675,21.57043970101934,,,,50.18,94.86
1000,10.0,0.001,CH3OH,26.753556933158556,positive,1.0,-0.07023534164254748,20.94417159294842,26.365757053196344,51.85036615376306,2094.417159294842,2636.5757053196344,0.52,48.36,95.28
1000,10.0,0.001,CH3OH,26.753556933158556,absent,0.0,-0.5437361400146425,21.013506032561377,26.430047239059576,51.379134326748826,,,,50.5,95.38
1000,10.0,0.001,CH3CN,2.552456608857331,positive,1.0,0.03405388456293414,2.0055837292980923,2.528595425773583,4.959671991635864,200.55837292980922,252.85954257735833,6.64,33.56,95.22
1000,10.0,0.001,CH3CN,2.552456608857331,absent,0.0,0.02007824297891794,2.0509677143956466,2.5664664448881025,5.011802401323834,,,,50.160000000000004,94.92
1000,10.0,0.001,PM2.5,212509566.9162675,positive,49.0,466600.2723390129,171170546.30358893,214764252.54570034,418501046.58643675,349327645.5175284,438294392.9504089,0.0,49.9,94.89999999999999
1000,10.0,0.001,PM2.5,212509566.9162675,absent,0.0,-2622247.38742407,171901972.3638594,214843508.805228,420482782.83316934,,,,49.82,94.86
1000,10.0,0.001,PMcoarse,260819833.0180508,positive,41.0,-572596.5212314744,210082746.59273598,263586549.422581,513684837.59478164,512396942.90911216,642894022.9819049,0.0,50.1,94.89999999999999
1000,10.0,0.001,PMcoarse,260819833.0180508,absent,0.0,3217577.1736541754,210980914.25216526,263683974.19582233,516076896.63413835,,,,50.18,94.86
1000,10.0,0.001,PM10,48310275.803007126,positive,90.0,-105996.24889246174,38912208.28959262,48822306.5589989,95183791.00834492,43235786.98843625,54247007.28777655,0.0,50.06,94.89999999999999
1000,10.0,0.001,PM10,48310275.803007126,absent,0.0,595329.7862301059,39078941.88830588,48840475.30696123,95594113.80096903,,,,50.18,94.86
