target,recall_pct,precision_pct
H2CO,20.28,53.368421052631575
H2CO,20.14,53.56382978723404
H2CO,19.919999999999998,53.5483870967742
H2CO,19.72,53.586956521739125
H2CO,19.46,53.46153846153846
H2CO,19.16,53.22222222222223
H2CO,18.98,53.31460674157304
H2CO,18.740000000000002,53.23863636363636
H2CO,18.58,53.39080459770115
H2CO,18.38,53.43023255813954
H2CO,18.08,53.17647058823529
H2CO,17.88,53.214285714285715
H2CO,17.66,53.19277108433735
H2CO,17.54,53.47560975609756
H2CO,17.380000000000003,53.641975308641975
H2CO,17.2,53.75
H2CO,17.06,53.9873417721519
H2CO,16.900000000000002,54.166666666666664
H2CO,16.74,54.35064935064935
H2CO,16.520000000000003,54.34210526315789
H2CO,16.28,54.266666666666666
H2CO,16.04,54.18918918918919
H2CO,15.78,54.041095890410965
H2CO,15.6,54.166666666666664
H2CO,15.379999999999999,54.154929577464785
H2CO,15.22,54.35714285714286
H2CO,15.0,54.347826086956516
H2CO,14.84,54.55882352941176
H2CO,14.580000000000002,54.40298507462686
H2CO,14.32,54.24242424242425
H2CO,14.099999999999998,54.230769230769226
H2CO,13.919999999999998,54.37499999999999
H2CO,13.68,54.285714285714285
H2CO,13.48,54.35483870967742
H2CO,13.28,54.42622950819672
H2CO,13.08,54.50000000000001
H2CO,12.98,55.00000000000001
H2CO,12.76,55.00000000000001
H2CO,12.559999999999999,55.08771929824562
