elevation_deg,geometry,target,apparent_elevation_deg,atmospheric_path_m,total_path_m,peak_db_per_ug_m3,rms_db_per_ug_m3
60,plane_parallel,H2CO,60.0,23094.010767585027,626885.3750611776,0.000773453717041524,0.0001389299223049409
60,plane_parallel,CH3OH,60.0,23094.010767585027,626885.3750611776,0.00028203636663508606,5.830427975074491e-05
60,plane_parallel,CH3CN,60.0,23094.010767585027,626885.3750611776,0.0027588639893773807,0.0008167820056075333
60,plane_parallel,CO,60.0,23094.010767585027,626885.3750611776,7.3788839108963236e-06,7.457420817681691e-07
60,plane_parallel,O3,60.0,23094.010767585027,626885.3750611776,2.249448323170301e-05,5.757270753942806e-06
60,plane_parallel,SO2,60.0,23094.010767585027,626885.3750611776,0.0002100796613232345,5.346444253011649e-05
60,plane_parallel,NO2,60.0,23094.010767585027,626885.3750611776,7.992348194999481e-06,1.8937923181904338e-06
60,plane_parallel,CH4,60.0,23094.010767585027,626885.3750611776,7.046378103995961e-11,1.2541096870165417e-11
60,spherical,H2CO,59.99999999999999,23081.97823705592,626885.3750611774,0.0007733781289416777,0.00013891763150038916
60,spherical,CH3OH,59.99999999999999,23081.97823705592,626885.3750611774,0.0002820088299667628,5.829919554127971e-05
60,spherical,CH3CN,59.99999999999999,23081.97823705592,626885.3750611774,0.0027586009942505386,0.0008167116347442642
60,spherical,CO,59.99999999999999,23081.97823705592,626885.3750611774,7.378162869629904e-06,7.456743188958085e-07
60,spherical,O3,59.99999999999999,23081.97823705592,626885.3750611774,2.2492444408421173e-05,5.7567874956940645e-06
60,spherical,SO2,59.99999999999999,23081.97823705592,626885.3750611774,0.00021005985415715263,5.345994137074307e-05
60,spherical,NO2,59.99999999999999,23081.97823705592,626885.3750611774,7.991611421731997e-06,1.8936284046970822e-06
60,spherical,CH4,59.99999999999999,23081.97823705592,626885.3750611774,7.045853078148496e-11,1.254024738708911e-11
60,refracted,H2CO,60.010070486878234,23081.151736960688,626885.3751314292,0.000773315348202494,0.00013890614708391834
60,refracted,CH3OH,60.010070486878234,23081.151736960688,626885.3751314292,0.0002819859311866683,5.829436391723881e-05
60,refracted,CH3CN,60.010070486878234,23081.151736960688,626885.3751314292,0.0027583760101759893,0.0008166438053240795
60,refracted,CO,60.010070486878234,23081.151736960688,626885.3751314292,7.377564298669354e-06,7.456129915540724e-07
60,refracted,O3,60.010070486878234,23081.151736960688,626885.3751314292,2.2490592781461487e-05,5.756307247446649e-06
60,refracted,SO2,60.010070486878234,23081.151736960688,626885.3751314292,0.00021004268505015857,5.3455483678283774e-05
60,refracted,NO2,60.010070486878234,23081.151736960688,626885.3751314292,7.990955592666638e-06,1.8934712637540927e-06
60,refracted,CH4,60.010070486878234,23081.151736960688,626885.3751314292,7.04525395900474e-11,1.2539165846322285e-11
90,plane_parallel,H2CO,90.0,20000.0,550000.0,0.000669830567609461,0.00012031684206187711
90,plane_parallel,CH3OH,90.0,20000.0,550000.0,0.0002442506582970463,5.049298741349973e-05
90,plane_parallel,CH3CN,90.0,20000.0,550000.0,0.0023892463003868944,0.0007073539662101276
90,plane_parallel,CO,90.0,20000.0,550000.0,6.390300918412483e-06,6.458315874823263e-07
90,plane_parallel,O3,90.0,20000.0,550000.0,1.9480793923657868e-05,4.985942729379658e-06
90,plane_parallel,SO2,90.0,20000.0,550000.0,0.00018193432352435227,4.6301565430254046e-05
90,plane_parallel,NO2,90.0,20000.0,550000.0,6.921576572760257e-06,1.6400722570447384e-06
90,plane_parallel,CH4,90.0,20000.0,550000.0,6.102342442730926e-11,1.086090848088476e-11
90,spherical,H2CO,90.0,20000.0,550000.0,0.000669830567609461,0.00012031684206187711
90,spherical,CH3OH,90.0,20000.0,550000.0,0.0002442506582970463,5.049298741349973e-05
90,spherical,CH3CN,90.0,20000.0,550000.0,0.0023892463003868944,0.0007073539662101276
90,spherical,CO,90.0,20000.0,550000.0,6.390300918412483e-06,6.458315874823263e-07
90,spherical,O3,90.0,20000.0,550000.0,1.9480793923657868e-05,4.985942729379658e-06
90,spherical,SO2,90.0,20000.0,550000.0,0.00018193432352435227,4.6301565430254046e-05
90,spherical,NO2,90.0,20000.0,550000.0,6.921576572760257e-06,1.6400722570447384e-06
90,spherical,CH4,90.0,20000.0,550000.0,6.102342442730926e-11,1.086090848088476e-11
90,refracted,H2CO,90.0,20000.0,550000.0,0.000669830567609461,0.0001203168420618771
90,refracted,CH3OH,90.0,20000.0,550000.0,0.0002442506582970463,5.049298741349973e-05
90,refracted,CH3CN,90.0,20000.0,550000.0,0.002389246300386894,0.0007073539662101276
90,refracted,CO,90.0,20000.0,550000.0,6.390300918412483e-06,6.458315874823262e-07
90,refracted,O3,90.0,20000.0,550000.0,1.9480793923657868e-05,4.985942729379658e-06
90,refracted,SO2,90.0,20000.0,550000.0,0.00018193432352435227,4.6301565430254046e-05
90,refracted,NO2,90.0,20000.0,550000.0,6.921576572760257e-06,1.6400722570447384e-06
90,refracted,CH4,90.0,20000.0,550000.0,6.102342442730926e-11,1.086090848088476e-11
