altitude_m,temperature_k,pressure_pa,water_number_density_cm3,refractive_index,radial_weight_m,path_weight_m
11605.662432702593,218.84999999999997,20754.86424769284,675595847397918.8,1.0000737520624547,250.0,352.8887335019868
11894.337567297407,218.84999999999997,19840.36083732306,584792726678439.5,1.000070487997783,250.0,352.87403781944926
12105.662432702593,218.84999999999997,19196.54582855818,526154574993288.44,1.0000681913266556,250.0,352.8632497506157
12394.337567297407,218.84999999999997,18350.705238225837,455437033471630.6,1.0000651754633425,250.0,352.848473761936
12605.662432702593,218.84999999999997,17755.22920073537,409769595021375.25,1.00006305325142,250.0,352.837629470299
12894.337567297407,218.84999999999997,16972.89608295675,354694718307423.56,1.0000602662619495,250.0,352.82278002644057
13105.662432702593,218.84999999999997,16422.12962613617,319128881481499.56,1.000058304963571,250.0,352.81188431286256
13394.337567297407,218.84999999999997,15698.535707650026,276236524369112.84,1.0000557291246566,250.0,352.79696769446866
13605.662432702593,218.84999999999997,15189.121943097738,248537822798493.34,1.000053916310051,250.0,352.78602496308895
13894.337567297407,218.84999999999997,14519.856962526766,215133221491588.3,1.000051535348325,250.0,352.7710469353152
14105.662432702593,218.84999999999997,14048.69104401138,193561451018328.7,1.0000498595979626,250.0,352.76006123109954
14394.337567297407,218.84999999999997,13429.675871584612,167545921362322.94,1.000047658554743,250.0,352.74502709168684
14605.662432702593,218.84999999999997,12993.886071194049,150745809625511.78,1.0000461093664539,250.0,352.73400213345116
14894.337567297407,218.84999999999997,12421.347846696424,130484894757397.14,1.000044074478497,250.0,352.7189167551328
15105.662432702593,218.84999999999997,12018.27805182915,117400954581081.47,1.0000426421853317,250.0,352.7078559647596
15394.337567297407,218.84999999999997,11488.727189245612,101621738216050.75,1.0000407607790813,250.0,352.69272383288194
15605.662432702593,218.84999999999997,11115.920713764217,91431955361076.7,1.0000394364762708,250.0,352.6816303613076
15894.337567297407,218.84999999999997,10626.129632463,79143089299737.62,1.0000376968735858,250.0,352.66645560737686
16105.662432702593,218.84999999999997,10281.314243340068,71207278432956.2,1.0000364723532726,250.0,352.65533235782095
16394.337567297407,218.84999999999997,9828.297696163034,61636699921325.85,1.0000348637869874,250.0,352.6401187895582
16605.662432702593,218.84999999999997,9509.371764357613,55456284203969.84,1.0000337314796341,250.0,352.628968438381
16894.337567297407,218.84999999999997,9090.368642718511,48002710164665.766,1.000032244017605,250.0,352.6137195667631
17105.662432702593,218.84999999999997,8795.38833387361,43189397564282.09,1.0000311969391893,250.0,352.60254458226575
17394.337567297407,218.84999999999997,8407.844838967441,37384548265791.38,1.0000298214157164,250.0,352.5872636459436
17605.662432702593,218.84999999999997,8135.012265856641,33635936643445.125,1.000028853119969,250.0,352.57606630537606
17894.337567297407,218.84999999999997,7776.566343409673,29115115464169.062,1.000027581073666,250.0,352.56075629279906
18105.662432702593,218.84999999999997,7524.218607922696,26195693797255.227,1.0000266856087363,250.0,352.54953869779166
18394.337567297407,218.84999999999997,7192.6855516138385,22674874722709.234,1.0000255092260815,250.0,352.53420236731097
18605.662432702593,218.84999999999997,6959.284609492663,20401226842401.113,1.0000246810951106,250.0,352.52296645791614
18894.337567297407,218.84999999999997,6652.643745299952,17659210190091.953,1.0000235931590231,250.0,352.50760635609777
19105.662432702593,218.84999999999997,6436.7670318516375,15888491440479.352,1.0000228272841873,250.0,352.4963539235946
19394.337567297407,218.84999999999997,6153.1494021657,13753006724466.148,1.0000218211270815,250.0,352.4809724019382
19605.662432702593,218.84999999999997,5953.481161816225,12373969575668.63,1.0000211128167324,250.0,352.4697051005345
19894.337567297407,218.84999999999997,5691.158134256148,10710852406600.531,1.0000201822775743,250.0,352.4543043307656
