pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
300,0.0,0.95,temperature_plus_5K,NO2,-5.679028073829464,121.32916905440207,121.46200485458414
300,0.0,0.95,pressure_minus_2000Pa,CO,-0.01787607307677025,0.9942040004596698,0.994364695933367
300,0.0,0.95,pressure_minus_2000Pa,O3,-0.823030827757848,12.496626317934814,12.523699496296643
300,0.0,0.95,pressure_minus_2000Pa,SO2,-0.9908686265388855,5.81982845660953,5.903577212116492
300,0.0,0.95,pressure_minus_2000Pa,NO2,-2.8561713634249113,121.32916905440207,121.36278250884381
300,0.0,0.95,height_1200m,CO,-0.18434854574125967,0.9942040004596698,1.0111508200297958
300,0.0,0.95,height_1200m,O3,-0.43211663510743625,12.496626317934814,12.504095093865754
300,0.0,0.95,height_1200m,SO2,-0.38919628614237356,5.81982845660953,5.832827531610127
300,0.0,0.95,height_1200m,NO2,-0.7603726563326746,121.32916905440207,121.33155166735558
300,0.0,0.95,combined,CO,-0.6123384112718246,0.9942040004596698,1.1676471746417723
300,0.0,0.95,combined,O3,0.42962295192068845,12.496626317934814,12.504009165500403
300,0.0,0.95,combined,SO2,-4.2376282160822445,5.81982845660953,7.199159406632031
300,0.0,0.95,combined,NO2,-9.080971744223788,121.32916905440207,121.66853048858225
300,0.001,0.5,matched,CO,6.8100327638360454e-15,0.9944464557778405,0.9944464557778405
300,0.001,0.5,matched,O3,-2.6744336140922784e-14,12.500768535695805,12.500768535695805
300,0.001,0.5,matched,SO2,1.4249572335343566e-14,5.821543513723204,5.821543513723204
300,0.001,0.5,matched,NO2,-2.776026857156273e-13,121.37141058834513,121.37141058834513
300,0.001,0.5,temperature_plus_5K,CO,-0.40764016157949423,0.9944464557778405,1.0747531133900774
300,0.001,0.5,temperature_plus_5K,O3,1.7251373967429322,12.500768535695805,12.619243757875635
300,0.001,0.5,temperature_plus_5K,SO2,-2.935080292105246,5.821543513723204,6.519590876985865
300,0.001,0.5,temperature_plus_5K,NO2,-5.482737015955447,121.37141058834513,121.49518391027186
300,0.001,0.5,pressure_minus_2000Pa,CO,-0.024906581957353513,0.9944464557778405,0.9947583079491756
300,0.001,0.5,pressure_minus_2000Pa,O3,-0.835727838644793,12.500768535695805,12.528673313776208
