model,pilots,residual_std_db,rho,gas,predicted_sd_ratio,empirical_rmse_ratio,deterministic_bias_allowance_db,independent_fit_actual_sd_ratio,pilot_time_lower_bound_s,pilot_energy_lower_bound_j
coherent,30,0.01,0.0,SO2,18.458002700753383,18.243227361761548,,18.458002700753383,3e-05,5.985786944906639e-06
coherent,30,0.01,0.0,NO2,385.00938518521394,386.86503725333273,,385.00938518521394,3e-05,5.985786944906639e-06
coherent,30,0.01,0.9,CO,3.1730457023478036,3.1310791639493396,,3.173786366089477,3e-05,5.985786944906639e-06
coherent,30,0.01,0.9,O3,39.9726973041283,39.86971362667538,,39.97969168462151,3e-05,5.985786944906639e-06
coherent,30,0.01,0.9,SO2,18.609130960305215,18.392927469865178,,18.613708251623564,3e-05,5.985786944906639e-06
coherent,30,0.01,0.9,NO2,386.4306468809095,388.33397873924656,,386.4870839379241,3e-05,5.985786944906639e-06
coherent,300,0.0,0.0,CO,0.9942040004596698,0.981109770190906,0.0007395329394226623,0.9942040004596698,0.0003,5.985786944906639e-05
coherent,300,0.0,0.0,O3,12.496626317934814,12.463955562276084,,12.496626317934814,0.0003,5.985786944906639e-05
coherent,300,0.0,0.0,SO2,5.81982845660953,5.752317487731877,,5.81982845660953,0.0003,5.985786944906639e-05
coherent,300,0.0,0.0,NO2,121.32916905440207,121.91297565600719,,121.32916905440207,0.0003,5.985786944906639e-05
coherent,300,0.0,0.9,CO,0.9942040004596698,0.981109770190906,0.0007395329394226623,0.9942040004596698,0.0003,5.985786944906639e-05
coherent,300,0.0,0.9,O3,12.496626317934814,12.463955562276084,,12.496626317934814,0.0003,5.985786944906639e-05
coherent,300,0.0,0.9,SO2,5.81982845660953,5.752317487731877,,5.81982845660953,0.0003,5.985786944906639e-05
coherent,300,0.0,0.9,NO2,121.32916905440207,121.91297565600719,,121.32916905440207,0.0003,5.985786944906639e-05
coherent,300,0.001,0.0,CO,0.9944464557778405,0.981349952731751,0.0007239653160249226,0.9944464557778405,0.0003,5.985786944906639e-05
coherent,300,0.001,0.0,O3,12.500768535695805,12.468096605594264,,12.500768535695805,0.0003,5.985786944906639e-05
coherent,300,0.001,0.0,SO2,5.821543513723204,5.753991731346858,,5.821543513723204,0.0003,5.985786944906639e-05
coherent,300,0.001,0.0,NO2,121.37141058834513,121.95551762638078,,121.37141058834513,0.0003,5.985786944906639e-05
coherent,300,0.001,0.9,CO,0.9951507623644037,0.9820385603044093,0.0006774568506146941,0.9951532259915643,0.0003,5.985786944906639e-05
coherent,300,0.001,0.9,O3,12.511291675176635,12.478630140584734,,12.511314790458458,0.0003,5.985786944906639e-05
coherent,300,0.001,0.9,SO2,5.826497858127123,5.758897891203453,,5.826513089158102,0.0003,5.985786944906639e-05
coherent,300,0.001,0.9,NO2,121.41821525802995,122.00392949305639,,121.41840199210107,0.0003,5.985786944906639e-05
coherent,300,0.01,0.0,CO,1.0180840440455077,1.0047647549144256,,1.0180840440455077,0.0003,5.985786944906639e-05
coherent,300,0.01,0.0,O3,12.902010492217256,12.86920726469313,,12.902010492217256,0.0003,5.985786944906639e-05
coherent,300,0.01,0.0,SO2,5.986488638287104,5.915021272868026,,5.986488638287104,0.0003,5.985786944906639e-05
coherent,300,0.01,0.0,NO2,125.45563587160458,126.06923566320437,,125.45563587160458,0.0003,5.985786944906639e-05
coherent,300,0.01,0.9,CO,1.0679559527666123,1.0533171701563633,,1.0834266423099117,0.0003,5.985786944906639e-05
coherent,300,0.01,0.9,O3,13.729480627879797,13.697526483620761,,13.88340617496974,0.0003,5.985786944906639e-05
coherent,300,0.01,0.9,SO2,6.34338327506917,6.269334485313144,,6.438480926491162,0.0003,5.985786944906639e-05
