band,nuisance_policy,elapsed_s,residual_std_db,pilots,sensing_tones,within_ideal_pass_above_45deg,target,control,truth_ug_m3,bias_ug_m3,mae_ug_m3,rmse_ug_m3,p95_absolute_error_ug_m3,mae_pct_of_truth,rmse_pct_of_truth,within_20pct_of_truth_pct,negative_estimate_pct
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,PM2.5,absent,0.0,84655.15327709007,23049003.610212654,28953268.120948482,57116502.74467407,,,,49.82
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,PMcoarse,positive,41.0,399537.79411166214,27859929.764043957,34841886.228134155,68191135.85659602,67951048.20498526,84980210.31252234,0.0,49.9
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,PMcoarse,absent,0.0,-103821.26649270329,28282735.067737706,35527685.324725054,70083139.37490577,,,,50.18
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,PM10,positive,90.0,73849.451352967,5155271.8868384985,6447317.390209118,12617239.968137933,5728079.874264998,7163685.989121242,0.0,49.9
multiband_reference,reference_calibration,1800.0,0.001,5400000,170,False,PM10,absent,0.0,-19166.113215613233,5233733.862928899,6574421.674677397,12970466.187228113,,,,50.160000000000004
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,H2CO,positive,1.0,1.0857877832408485,105.57750266913636,132.67923256004664,257.14645337991675,10557.750266913636,13267.923256004664,0.1,48.74
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,H2CO,absent,0.0,-1.8122444941346336,104.66037168285051,131.39163762899378,258.5681939878764,,,,50.03999999999999
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,CH3OH,positive,1.0,6.73756941563787,233.30493962127667,290.73692703996863,563.5413494358131,23330.493962127668,29073.692703996865,0.12,48.38
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,CH3OH,absent,0.0,-0.9356978177072498,229.98326490577088,286.7442834152059,560.7675521388518,,,,49.9
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,CH3CN,positive,1.0,0.32739743217806216,22.9825138747455,28.618970172530275,55.31093549183801,2298.25138747455,2861.8970172530276,0.52,47.699999999999996
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,CH3CN,absent,0.0,-0.0413677835243398,22.858327310334268,28.70806282504931,57.084790661318415,,,,50.54
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,PM2.5,positive,49.0,-177606831.48090535,6771599196.3253765,8491253534.2172165,16638009844.585411,13819590196.5824,17329088845.34126,0.0,50.78
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,PM2.5,absent,0.0,-55358228.93825642,6677646375.74451,8320806532.254837,16069195901.149788,,,,49.96
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,PMcoarse,positive,41.0,218039070.69161144,8313055035.625056,10424164020.665627,20426788584.99265,20275743989.329407,25424790294.306404,0.0,49.220000000000006
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,PMcoarse,absent,0.0,67946126.23696998,8197693468.565622,10214893519.01067,19726465071.348164,,,,50.03999999999999
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,PM10,positive,90.0,40432239.2107061,1541455839.299681,1932910606.3257303,3788778740.407247,1712728710.332979,2147678451.4730334,0.0,49.220000000000006
multiband_reference,weather_uncertainty,0.1,0.0,300,170,True,PM10,absent,0.0,12587897.298713561,1520047376.2462153,1894087106.4744058,3658630447.0484266,,,,50.06
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,H2CO,positive,1.0,1.1054138990338453,105.71407144130771,132.82267830314936,256.58064419931657,10571.407144130771,13282.267830314937,0.12,48.72
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,H2CO,absent,0.0,-1.983989169704507,104.652245244561,131.394218356356,258.48602172613045,,,,50.260000000000005
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,CH3OH,positive,1.0,6.650303568596423,233.19200176879465,290.6245535743184,566.0494078456265,23319.200176879465,29062.455357431838,0.06,48.42
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,CH3OH,absent,0.0,-1.0115417720665592,230.25642643017284,287.04873433227255,561.467792341114,,,,49.96
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,CH3CN,positive,1.0,0.3287383568787317,22.98156949367029,28.62260414474177,55.35673440459108,2298.156949367029,2862.260414474177,0.64,47.74
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,CH3CN,absent,0.0,-0.04421457447044318,22.855888877233582,28.710625637458225,57.19418041024357,,,,50.56
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,PM2.5,positive,49.0,-172438510.7341044,6774618419.397488,8499904478.664752,16705846556.662012,13825751876.321404,17346743834.009697,0.0,50.82
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,PM2.5,absent,0.0,-61883050.87061943,6682409165.99927,8323919823.424882,16062027293.55778,,,,49.82
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,PMcoarse,positive,41.0,211693608.97770727,8316758663.804512,10434783680.28948,20507909974.458813,20284777228.791492,25450691903.145073,0.0,49.18
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,PMcoarse,absent,0.0,75956306.054182,8203541796.573585,10218716435.898327,19717669001.764168,,,,50.2
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,PM10,positive,90.0,39255098.24360287,1542140244.4070258,1934879321.4009192,3802038701.5417542,1713489160.452251,2149865912.667688,0.0,49.18
multiband_reference,weather_uncertainty,0.1,0.001,300,170,True,PM10,absent,0.0,14073255.183562644,1521133043.1917949,1894796732.286633,3655641708.206385,,,,50.22
multiband_reference,weather_uncertainty,10.0,0.0,30000,170,True,H2CO,positive,1.0,0.110172174309,10.559968871644312,13.26792044776563,25.674755402786506,1055.9968871644312,1326.792044776563,1.18,45.92
multiband_reference,weather_uncertainty,10.0,0.0,30000,170,True,H2CO,absent,0.0,-0.18126277497134646,10.467771753197749,13.139267087670012,25.814457292763294,,,,50.019999999999996
multiband_reference,weather_uncertainty,10.0,0.0,30000,170,True,CH3OH,positive,1.0,0.6694417669382605,23.33130939913859,29.075023465017157,56.419846108533534,2333.130939913859,2907.5023465017157,0.62,47.160000000000004
